max_pullups,k1
6,0.39999999999999997
6,0.43333333333333335
7,0.42857142857142855
7,0.4857142857142857
8,0.45
8,0.575
9,0.4222222222222222
9,0.5333333333333333
10,0.5599999999999999
10,0.62
11,0.6363636363636364
11,0.6727272727272727
12,0.5666666666666667
12,0.6
13,0.5846153846153845
13,0.6307692307692307
14,0.6428571428571429
15,0.6533333333333334
16,0.5625
16,0.625
17,0.611764705882353
17,0.6705882352941177
18,0.6555555555555556
18,0.6777777777777777
19,0.6842105263157895
19,0.7157894736842105
19,0.7578947368421053
21,0.6380952380952382
21,0.6571428571428571
22,0.6363636363636364
22,0.7000000000000001
23,0.6956521739130435
23,0.7217391304347827
24,0.7333333333333334
24,0.7416666666666667
24,0.7666666666666666
26,0.6230769230769231
26,0.6692307692307692
27,0.6666666666666666
27,0.7037037037037037
28,0.7071428571428572
28,0.7428571428571429
28,0.7571428571428571
28,0.7857142857142857
28,0.8285714285714285
31,0.6838709677419355
31,0.7354838709677419
32,0.75
32,0.78125
33,0.7757575757575758
33,0.7999999999999999
33,0.8121212121212121
33,0.8363636363636364
33,0.8606060606060606
36,0.6666666666666666
36,0.7111111111111111
37,0.7081081081081081
37,0.7351351351351351
37,0.745945945945946
38,0.7368421052631579
38,0.7473684210526316
38,0.7578947368421053
38,0.7894736842105263
42,0.6047619047619047
42,0.6285714285714286
44,0.6090909090909091
45,0.6133333333333334
46,0.6173913043478261
47,0.6085106382978723
47,0.6212765957446809
47,0.6297872340425532
47,0.6510638297872341
